"bookName","author","series","summary","rating","price"
"墨菲定律：如果有可能出錯，那就一定會出錯！(令人深思的行為背後，藏著好玩古怪的心理效應！暢銷百萬冊的日常行為心理指南)","張文成","富能量","**☆☆橫掃各大排行榜，暢銷百萬冊心理指南☆☆當當網45萬則讀者五星盛讚：「只要一開始閱讀，便想多買一本。」「如果有可能出錯，那就一定會出錯！」──墨菲定律20世紀西方三大發明之一，沒有僥倖的億分之一，只要你是地球人，墨菲定律人人中招！那些無數不在，左右你生活的心理、管理學效應……別懷疑，這本書真的可以解釋困擾你的人生問題！****　　☆《墨菲定律》將助你高效而深入──**　　拓展認知心理；改變思維方法；提升生活、工作格局　　「墨菲定律」「帕金森定律」「彼得原理」並稱為「20世紀西方文化三大發現」──換句話說，怕什麼，來什麼。「墨菲定律」說，容易犯錯是人類與生俱來的弱點，若能在事前盡量思考周全，對出現問題時，能承擔及即時應對才重要，而非去掩蓋。　　本書從自我認知、經濟管理角度切入，作者引出68條對現代人工作和生活有諸多影響的心理學、管理學、定律、法則，比如沉錨效應、瓦倫達效應、霍桑效應","⭐⭐⭐⭐","NT$250 TWD"
"新加坡的非典型崛起：從萊佛士爵士到李光耀，駕馭海洋的小城大國（全新修訂版）","約翰‧培瑞","八旗國際","☆最貧瘠的資源，創造最巨大的財富！☆最邊陲的區域，孕育最現代的社會！☆最複雜的族群，誕生最高效的政府！小小彈丸之地，為何能躍居吞吐世界的大國？新加坡的崛起，在於掌握了歷史潮流。新加坡的成功，來自於海洋與人才！　　新加坡的國土面積只有七百多平方公里，約莫是台灣的五十分之一，人口五百四十多萬，不及台北加新北。然而，新加坡卻是全球首屈一指的航運、貿易、金融、教育中心。全世界每年有一半的海上貿易從新加坡旁邊的麻六甲海峽通過，其港口每年經手約五億噸的貨運，經濟實力、人類發展指數都是世界的前段班，人均GDP達72,000美金，是世界第三大、亞洲第一大的國際金融中心。《金融時報》稱它為「東方的蘇黎世」，《經濟學人》將其整體經商方便性評為全球第一。　　然而，這一切得來不易。當新加...","⭐⭐⭐⭐⭐","NT$392 TWD"
"人間失格【典藏紀念版】","太宰治","經典","厭世文豪太宰治寫給這個世界的遺書日本無賴派大師暢銷千萬冊的代表作台灣資深文學小說譯者劉子倩重新打造新世代譯本絕美陰鬱的無聲吶喊 逃離他人眼光的向下沉淪作家駱以軍、作家黃麗群、作家蔡康永、厭世哲學家 推薦他帶你行經痛苦折磨 肆意放縱墮落 掩蓋無聲吶喊在他人目光下赤身裸體般艱難邁步 不服卻也無力抵抗他替你 在美好世界的B面 格格不入地走了一遭從這世間 死了一遍#Goodbye那些所謂的日常正軌1948年6月13日深夜，就在完成《人間失格》的數月後，在東京近郊三鷹、當時依舊湍急的玉川上水，太宰治跟情婦山崎富榮在身上緊緊繫上紅繩，投水自殺。太宰治放棄了短暫絢爛的文豪生涯，完成了一開始對富榮所說的「談一場到死為止的戀愛」，結束...","⭐⭐⭐⭐½","NT$178 TWD"
"內在原力：9個設定，活出最好的人生版本","愛瑞克","TOP","════原來，人生可以重新設定═════　　修改人生演算法，啟動內在原力，讓宇宙聯合起來幫助你！　　普通人的思維通常是這樣的：　　再怎麼努力也沒用　　老是比不上別人　　領多少薪水做多少事　　於是，人生總是卡關。**　　◎一個關鍵提問，開啟了人生如何升級的解答**　　一位迷惘的學子詢問作者愛瑞克，雖然已經付出努力，但仍比不上同儕能輕鬆獲得許多機會，還沒出社會，就已經輸在起跑點。為什麼鋪在別人前方的是一條康莊大道，他的就是一道道跨不過去的高牆？　　這個提問，引起作者愛瑞克的注意；除了幫助對方，他也回想起，二十多年前的他，也面臨和學子相似困境的人生經歷，自己是如何修改思維決策系統，解決了這些問題。　　當時的他，做了一個影響人生的重大決定：修改人生演算法，啟動內在原力。　　日後，他面臨了許多人生重大的決定，都透過這套方法解決，他開始活出最好的人生版本，42歲時達到財務自由。**","⭐⭐⭐⭐½","NT$226 TWD"
"讀書變現的創作法則：心得書評、聽書文稿、短影音和直播，新手必學、說書系KOL一定要懂的品牌獲利管道","弘丹","N/A","**閱讀和寫作，是最被低估的底層能力，卻是最快上手的生存技能！──完整解析副業變「富業」的閱讀複利模式──由讀者、創作者到經營者，一本從零開始的知識輸出專書。****　　\精彩推薦摘文//**　　「當然，我有一套自己讀書變現的方法，但這本書又打開了我的視野，給了我好多從沒想到概念和方法。」──「Life不下課」主持人｜歐陽立中　　「我以前也不知道閱讀原來可以變現，直到我自己也投入在閱讀推廣領域中，甚至還從中變現賺到錢，我深深相信只要你也熱愛閱讀，你也可以。」──閱讀人社群主編｜鄭俊德　　【透過這項「富業」，他們成功改變人生！】　　‧20多歲的實習生在兩年內讓自己月薪成長10倍、成為三個專欄的主編。　　‧家庭主婦透過閱讀寫作增加收入，重新找回自我的價值。　　‧60多歲的退休族從零開始學閱讀寫作，成為四家平台的簽約作者。**　　■想成為讀書型的KOL，一定會遇到這些關卡！**","⭐⭐⭐⭐⭐","NT$250 TWD"
"秒讚：文案女王教你寫入心坎，立刻行動的文案力","林桂枝","TOP","影片文案╳社群文案╳海報文案╳電商文案╳品牌文案不用擠進奧美，也能得到奧美「文案女王」的貼身指導！攻心且讓「文案不難」的訣竅首度公開。　　●小馬宋說林桂枝：「隨口一說就是金句。」　　●京東消費品事業部採購經歷李智說：「我會推薦身邊所有做電商的朋友讀這本書。」　　奧美文案女王林桂枝，20年的廣告生涯中，操作過許多知名國際品牌，包括別克汽車、Nokia、嬌生等。被許多廣告人視為偶像，是創意人東東槍、李誕的文案老師，更是廣告文案界的傳奇人物。在奧美，她是想不出好文案時的求救對象。　　例如，操作三全水餃時，大家苦於想不出文案，她輕輕點撥：「吃點好的，很有必要。」一出手就是傳頌金句。**　　●為什麼大家腸思枯竭想不出好文案，她隨口一說就是金句？**　　文案只是輔助，直攻大腦靠的是人性洞察與思考，林桂枝知道消費者最在意的是什麼，痛點在哪？設身處地為消費者著想，...","⭐⭐⭐⭐","NT$268 TWD"
"在熙，燒酒，我，還有冰箱裡的藍莓與菸（台灣版特別印製作家朴相映暖心小語簽名扉頁）","朴相映","潮浪小說館001","**——描繪千禧世代的孤寂與情感，懺情經典之作——甜蜜而迷惘的戀情，苦澀卻動人的青春讓人掩卷後熱淚盈眶，想要再談一次戀愛！★入圍國際布克獎、都柏林文學獎★四部中篇小說X四種心痛滋味＝新世紀戀愛讀本以秒為單位的情感起伏，每秒延伸數千公尺的感情——被熔岩覆蓋的龐貝戀人們，就是這種心情嗎？　穿過首爾霓虹閃爍的夜晚及睡眼惺忪的早晨，大城市裡寂寞惆悵的心，尋找著專屬彼此的熾熱靈魂……　入選韓國KBS「我們這個時代的小說」，引領韓國文學未來的年輕作家！甫上市即26刷，高居韓國各大書店排行TOP5！售出全球逾30國版權的韓國現象級小說！**　　★朝鮮日報／中央日報／東亞日報／韓民族日報／京鄉新聞聯合推薦　　★YES24入圍年度圖書　　　★青年作家獎大獎、申東燁文學獎、許筠文學作家獎獲獎作家　　★紐約時報書評選書　　★BuzzFeed 年度最佳 LGBTQ+ 圖書...","⭐⭐⭐⭐⭐","NT$214 TWD"
"也許你該找人聊聊２：心理師教你大膽修訂自己的人生故事！","蘿蕊・葛利布","FOCUS","**本書建議搭配以下書籍服用，效果更佳——《也許你該找人聊聊：一個諮商心理師與她的心理師，以及我們的生活》——美國當代精神醫學大師、美國史丹佛大學精神醫學榮休教授歐文・亞隆：「我讀心理治療的書超過半個世紀了，但從沒見過《也許你該找人聊聊》這樣的書——這麼大膽、這麼直白、這麼多好故事，又這麼坦誠、深刻而引人入勝。」**　　本書為《紐約時報》暢銷書《也許你該找人聊聊》的實戰版本，　　以專業而實用的結構，陪伴你發現「自己」最真實的人生故事。　　《也許你該找人聊聊》上市首週，強勢竄上亞馬遜網路書店總榜TOP 100、立刻登上《紐約時報》暢銷榜，廣獲全球讀者肯定，並於年終獲選亞馬遜書店年度書籍TOP 10，長踞心理勵志類前茅，現正改編為電視影集。蘿蕊・葛利布在諮商室裡的動人故事，讓許多人看見真正的自己。成千上萬人在一頁一頁畫線的同時，也不約而同想問蘿蕊：可不可以請你重新統整這本書裡講過的道理","⭐⭐⭐⭐½","NT$237 TWD"
"【牛津通識課04】古埃及：揭開神祕古文明面紗","伊恩．蕭(Ian Shaw)","牛津通識課","金字塔是外星人蓋的嗎？圖坦卡門陵墓真的帶有法老的詛咒嗎？外貌特殊的異端法老阿肯那頓其實患有某種疾病？古埃及人這麼重視木乃伊的製作是為了死而復生？打開牛津大學出版社最受歡迎通識讀本，由專業考古學者引領你進入真實的古埃及世界。金字塔、法老陵墓、埃及豔后的傳說……引起全世界埃及狂熱的尼羅河古文明，所遺留下的遺跡、神殿壁畫、神話、文物，這些素材令後世驚嘆、著迷，並且被轉化成藝術、小說、紀錄片及娛樂。1898年，從神殿廢墟遺址發掘的納爾邁調色板，據估算製作時間約為西元前3100年，調色板雙面皆有精美且複雜的浮雕圖案，為古埃及研究者提供了許多窺看過去的線索。...","N/A","NT$266 TWD"
"謬誤與真相：保守派經濟學家如何戳破執政者的美好謊言","湯瑪斯・索威爾","近未來","經濟學版《真確》，直指5種謬誤思維—經濟政策出問題，都是我們自找的！—　　看似美好的經濟政策，反而引發災難後果，　　本書點明5種經濟上的謬誤與真相，從住房到國際貿易都深受影響；　　認清政策利多背後的真相，不再被政客牽著鼻子走！　　政府祭出打房政策，反而無助於壓低房價？　　社會各階層收入不平等的根源是什麼？　　非營利性機構應該追求經濟利潤嗎？　　即使在一個絕對平等的經濟環境中，男女間就不存在經濟差異了嗎？　　種族間有多少經濟差別可用歧視來解釋？　　將窮國的貧困歸罪於富國的經濟「掠奪」正確嗎？　　針對以上經濟政策的問題，知名保守派經濟學家索威爾用生動的筆觸逐一進行分析，以過人的勇氣揭露其中存在已久的謬誤，企圖站在一個脫離偏見、成見的角度，公平還原被掩蓋的經濟真相，營造一個認識經濟問題的正確思路！　　這些謬誤包括媒體與政客廣泛傳播的許多信念，例如關於城市問題、收入差距、男女...","⭐⭐⭐⭐","NT$286 TWD"
"來～一起跟毛小孩聊天：我們都是動物溝通小天才！","Leslie","Lohas","學「動物溝通」這本就對了！★最簡單的「直覺式」動物溝通，幼幼班初入門一點就通～最高人氣、每開課必秒殺的動物溝通師Leslie手把手帶你學十年經驗掏心掏肺大公開！汪汪、喵喵、吼吼、呱呱、皮卡皮卡（？）～你以為的動物溝通，是跨越語言學與聲韻學的世說新語但事實上，有時我們需要的，只是一個直覺細細說到你懂，搭配細緻溫暖的插圖圖像引導打開最柔軟貼心的動物溝通幼幼班練習本讓我們一起成為動物溝通小天才！★● 看完秒懂！輕鬆解壓縮直覺式動物溝通懶人包● 史上初面世，台灣首份生物醫學博士研究動物溝通師腦波實驗發表● 魔法麻瓜好安心，不用感應能量、不會冥想也通暢的學習法● 無論何時何地都能進行的直覺練習，不受限於工具場地● 事半功倍，溝通時更「身歷其境」的沉浸式技巧● 開啟毛小孩聊天室的四種方法，聊到話匣子停不了！● 最想跟自己毛小孩聊天！特...","⭐⭐⭐⭐½","NT$781 TWD"
"科技Ｘ愛Ｘ12則奇思妙想【英國才女作家珍奈．溫特森最新散文集】：從吸血鬼到人工智慧，我們是在前進還是倒退？","珍奈‧溫特森","現場 come","**人工智慧大軍來襲，我們該如何面對未來的變化挑戰？全書以慧黠洞見提出對科技與未來的觀察思辨，文科X理科的交會，精彩萬分，痛快淋漓！　精彩、博學、獨特、詼諧！ 　以《柳橙不是唯一的水果》享譽文壇的才女作家珍奈．溫特森首部精彩文集在台上市★《衛報》《金融時報》《標準晚報》《每日電訊報》年度選書★★伊格言、李信瑩、林新惠、張潔平、陳雪、楊佳嫻、楊姍樺傾心推薦★**　　★文采豐富，才華橫溢，當代作家少有人能出其右。——《紐約時報》書評　　★讓人萬分著迷，充滿洞見。——《出版人週刊》　　★發人深省，極度必要！而且，非常有趣。——《衛報》　　♀當性別偏見及反智的價值觀主導大科技和大數據，我們的未來將會如何？　　♂科技創新是進步嗎？為何人權和性別等議題持續惡化倒退？　　　♀為何女性在科技領域如此稀少？如果科技場域繼續由男性主導，女性未來會面臨何種處境？　　♂性愛機器人都為男...","N/A","NT$364 TWD"
"內在原力：9個設定，活出最好的人生版本","愛瑞克","N/A","════原來，人生可以重新設定═════　　修改人生演算法，啟動內在原力，讓宇宙聯合起來幫助你！　　普通人的思維通常是這樣的：　　再怎麼努力也沒用　　老是比不上別人　　領多少薪水做多少事　　於是，人生總是卡關。　　◎一個關鍵提問，開啟了人生如何升級的解答　　一位迷惘的學子詢問作者愛瑞克，雖然已經付出努力，但仍比不上同儕能輕鬆獲得許多機會，還沒出社會，就已經輸在起跑點。為什麼鋪在別人前方的是一條康莊大道，他的就是一道道跨不過去的高牆？　　這個提問，引起作者愛瑞克的注意；除了幫助對方，他也回想起，二十多年前的他，也面臨和學子相似困境的人生經歷，自己是如何修改思維決策系統，解決了這些問題。　　當時的他，做了一個影響人生的重大決定：修改人生演算法，啟動內在原力。　　日後，他面臨了許多人生重大的決定，都透過這套方法解決，他開始活出最好的人生版本，42歲時達到財務自由。　　◎一場感動人心的演講","⭐⭐⭐⭐","NT$300 TWD"
"The Almanack of Naval Ravikant","Eric Jorgenson","N/A","Getting rich is not just about luck; happiness is not just a trait we are born with. These aspirations may seem out of reach, but building wealth and being happy are skills we can learn. So what are these skills, and how do we learn them? What are the principles that should guide our efforts? What does progress really look like? Naval Ravikant is an entrepreneur, philosopher, and investor who has","⭐⭐⭐⭐½","NT$90 TWD"
"香港：大英帝國的終章【典藏版】──從英屬香港到特別行政區，香港156年發展史最重要的非虛構寫作經典","珍‧莫里斯","現場","**從英屬香港到中國特別行政區，重探香港回歸前的最後風貌英國「終身成就」金筆獎得主──珍．莫里斯爬梳香港一百五十六年發展史最完整的非虛構寫作經典！結合第一手珍貴史料及三十年間多次遊歷的親身見聞以大英帝國的角度和香港「局外人」的身分現身忠實重現香港過去的原型與今日的風貌……觀察香港懸浮在英國殖民歷史與中國不確定的未來之間的命運！「珍．莫里斯不但出版了一部精湛的帝國史，也撰寫了一部描述香港的最佳著作！」──「末代港督」彭定康**　　本書寫成於一九九七年香港政權轉移前，被譽為爬梳香港發展史最經典的非虛構寫作。在作者筆下，讀者宛如身歷其境，一方面看她於一九九七年到來的前一年重訪香港，記錄殖民帝國的最後一頁；一方面也看她在其中尋找香港一百五十多年歷史的風采，呈現香港過去的原型與時代下的各種風貌。**　　▋在香港的骨子裡，從來不曾真正地脫離中國……**　　作者珍","⭐⭐⭐⭐⭐","NT$385 TWD"
"孤獨的冷漠：逃避型依戀障礙的分析與修復","岡田尊司","人文","「逃避型」屬於不安全的依戀形式，來自父母的忽視、過度保護與過度掌控　　人生沒有目標，做什麼都提不起勁？　　與人相處總是放不開，覺得獨處比較輕鬆？　　對他人的情感毫不在意，只在乎自己的興趣？　　無法建立關係，人際交往總是不長久？　　遲遲不想工作結婚，談起責任彷彿有拖延症？　　「逃避的確有用，逃遠了也別怕回不來」　　《依戀障礙》系列再出發，解析「是哪些陰影讓我們想逃避」，以及「有效脫離逃避的勇氣」　　依戀（attachment）也譯作依附，指的是人與人之間締結關係的能力。近年社會晚婚、少子化、關係疏離等現象則可歸因於「逃避型」依戀形式人口的增加。而「逃避型」的養成，則往往來自父母過度保護、過度掌控或忽視。　　各種人格類型都可能帶有「逃避型」特質，分別展現以下行為傾向：　　‧逃避性人格類型——強烈害怕被討厭　　‧依賴性人格類型——擅長察言觀色，不敢拒絕別人　　‧強迫性人格類型——認真努力、責..","⭐⭐⭐⭐","NT$231 TWD"
"行為：暴力、競爭、利他，人類行為背後的生物學","羅伯．薩波斯基 ROBERT M. SAPOLSKY","ALPHA","**　　關於人類的行為，前所未有的完整分析**　　「要說《行為》是我曾讀過最棒的非虛構作品，也一點都不誇張。」──大衛．巴瑞許（David P. Barash），《華爾街日報》　　這本書只有研究人類行為的世界級科學家薩伯斯基寫得出來，《行為》一書回答了人類最根本的問題：我們的行為從何而來？　　　　上冊中，薩波斯基──神經科學家與靈長類動物學家──穿梭在數種學科之間，揭露我們的一舉一動背後的故事。從不同角度剖析人類行為，沒有一塊石頭忘了翻面，涵蓋從基本生物學到內分泌，到神經科學、心理學、社會學、演化理論等等的每一件事。他說故事的功力有目共睹，且深具內在邏輯。透過追溯一個行為發生前的不同時間段與系統，對目標多次出擊。　　他首先檢視在精準時刻之內，究竟是什麼造就了人類行為，然後再一個階段一個階段往前追溯，最終回溯到我們這個物種更深的文化、歷史和基因遺傳。　　於是","⭐⭐⭐⭐","NT$840 TWD"
"民主的擂台：人類政體的千年發展，如何決定我們的當下與未來","大衛‧史塔薩瓦吉","八旗人文","歷史還未終結，民主已走向衰敗這是場民主vs.專制的生死擂台，人類千年政治體制發展的長河民主並不是西方獨有的體制，世界各地都有過「早期民主」的蹤跡，「早期民主」跟「現代民主」又有什麼不同？若民主是人類世界自然發展出的常態為何中國、伊斯蘭、俄羅斯等地區最終是選擇專制，而非擁抱民主？在這場民主與專制的永恆賽局中，我們真正該思考的不單是「專制多麼邪惡」、「民主能否存續」而是在人類的「理性選擇」下，我們該如何繼續精進、深耕民主　　民主從何而來？如何維持？未來又會走向何方？這些都是當今「民主焦慮」時代，人們最關心的問題。不同於坊間常見的民主理論...","N/A","NT$392 TWD"
